,track_id,track,artist,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,era
3694,37f4ITSlgPX81ad2EvmVQr,Fight Song,Rachel Platten,204013,79,0.564,0.7140000000000001,G,-4.987,major,0.129,0.0549,0.0,0.155,0.33,175.924,TIKTOK PHILIPPINES,10s
3695,7F9vK8hNFMml4GtHsaXui6,Back to You (feat. Bebe Rexha & Digital Farm Animals),Louis Tomlinson,190427,72,0.6829999999999999,0.53,F,-4.918,minor,0.142,0.207,0.0,0.3939999999999999,0.645,75.016,TIKTOK PHILIPPINES,10s
3696,6brl7bwOHmGFkNw3MBqssT,So Sick,Ne-Yo,207186,77,0.452,0.574,F# / Gb,-8.336,major,0.31,0.246,0.0,0.1889999999999999,0.58,92.791,TIKTOK PHILIPPINES,00s
3697,672c0D151qVsLSbwsYe3bo,Stupid Love performed by Salbakutah,Andrew E.,324586,49,0.762,0.621,A# / Bb,-7.672999999999999,major,0.0742,0.299,2.11e-06,0.0743,0.7140000000000001,74.094,TIKTOK PHILIPPINES,00s
3698,5UhpceEr5XmbVwyoIUIRnh,Hanggang Kailan - Umuwi Ka Na Baby,Orange & Lemons,261866,63,0.556,0.674,C,-5.563,major,0.0296,0.1159999999999999,2.19e-06,0.226,0.3989999999999999,146.433,TIKTOK PHILIPPINES,00s
3705,2J4P46vCFm1rPkNkp9pZWX,Ice Cream (with Selena Gomez),BLACKPINK,175813,73,0.79,0.7290000000000001,A,-3.843,major,0.3339999999999999,0.0342,9.31e-05,0.0411,0.904,159.989,TIKTOK PHILIPPINES,20s
3707,5DV4ZSCqbFv74ui3ZhimXo,Coño,Jason Derulo,111852,72,0.899,0.528,A,-5.442,major,0.181,0.000554,0.0101,0.105,0.456,100.037,TIKTOK PHILIPPINES,20s
3708,3yfqSUWxFvZELEM4PmlwIR,The Real Slim Shady,Eminem,284200,84,0.949,0.6609999999999999,F,-4.244,minor,0.0572,0.0302,0.0,0.0454,0.76,104.504,TIKTOK PHILIPPINES,00s
3709,5EYi2rH4LYs6M21ZLOyQTx,Loving Is Easy,Rex Orange County,155720,77,0.7559999999999999,0.609,D# / Eb,-7.927,major,0.0544,0.217,0.00474,0.096,0.537,117.023,TIKTOK PHILIPPINES,10s
3714,1SDGbQloWsXTl0DJzMGgFA,Bambambam,Karencitta,211182,37,0.828,0.8340000000000001,B,-4.409,major,0.2269999999999999,0.152,0.0,0.223,0.7859999999999999,120.713,TIKTOK PHILIPPINES,10s
3715,2wrJq5XKLnmhRXHIAf9xBa,"10,000 Hours (with Justin Bieber)",Dan + Shay,167693,84,0.654,0.63,A# / Bb,-4.644,major,0.0259,0.153,0.0,0.111,0.43,89.991,TIKTOK PHILIPPINES,10s
3716,3N47G9kLMXq0edKgXFuc0R,On ne s'aimera plus jamais,Larusso,227933,47,0.7979999999999999,0.903,E,-4.555,minor,0.0463,0.178,7.38e-05,0.0634,0.96,125.039,TIKTOK PHILIPPINES,90s
3717,3fV2ZnSsxgvXUHshkGCBdR,Solo,Iyaz,194266,54,0.73,0.728,B,-3.113,major,0.0291,0.1969999999999999,0.0,0.1969999999999999,0.68,130.061,TIKTOK PHILIPPINES,10s
3721,0cUpQfAEFkQpbfTReVHS4J,Blow The Speakers Up,I Don't Speak French,195813,21,0.6829999999999999,0.626,B,-10.087,major,0.125,0.0169,0.0276,0.0955,0.501,123.899,TIKTOK PHILIPPINES,20s
3726,6LCwbNsBi3DpRzQquwWdjI,Alabang Girls,Andrew E.,169466,41,0.695,0.946,C,-7.45,major,0.0758,0.0209,0.0,0.325,0.8079999999999999,150.609,TIKTOK PHILIPPINES,00s
3727,00k8Ha8mvcpiNkSLJ4klxT,Itsumo,Mobbstarr,255163,44,0.925,0.43,G# / Ab,-9.401,major,0.0416,0.286,0.0,0.139,0.924,94.132,TIKTOK PHILIPPINES,00s
3728,1K2a2FNsthUSXu3ujJDO56,Sasakyan Kita,Glady's and the Boxers,238880,35,0.805,0.947,D,-6.195,major,0.035,0.22,0.0,0.0481,0.994,129.939,TIKTOK PHILIPPINES,00s
3729,5WpfMpbKbBRLhPu5ZoAqkM,Numb (Remix),Shadow Cliq,191186,0,0.525,0.7929999999999999,F# / Gb,-7.415,minor,0.0306,0.0153,0.171,0.124,0.262,117.984,TIKTOK PHILIPPINES,10s
3730,3mg29Lwvo673TkDhE3kB9W,Dessert,Dawin,210983,59,0.868,0.679,F# / Gb,-6.941,major,0.0397,0.0799,1.22e-06,0.0504,0.75,97.012,TIKTOK PHILIPPINES,10s
3731,7wdFJbQooaXWEdjD9dSiBH,Time After Time,INOJ,254026,46,0.757,0.557,C,-8.744,major,0.0328,0.203,0.00595,0.0773,0.415,131.74200000000002,TIKTOK PHILIPPINES,90s
3732,04R6Y6bBCpuEGd6nuS0uQE,Frikitona,DJ Ofreck,173160,13,0.8690000000000001,0.535,F# / Gb,-10.316,minor,0.257,0.0284,0.00343,0.0802,0.544,74.987,TIKTOK PHILIPPINES,10s
3733,18uwL0vNUanqZH0ro2QcOP,comethru,Jeremy Zucker,181613,80,0.795,0.178,C,-11.991,major,0.0574,0.607,0.0,0.623,0.608,93.982,TIKTOK PHILIPPINES,10s
3735,3EI0rSMMutICwMmn7wJVbU,Ever After - EK Beach Mix,Bonnie Bailey,395389,50,0.745,0.7020000000000001,B,-7.077000000000001,minor,0.0434,0.241,0.00237,0.0693,0.638,127.013,TIKTOK PHILIPPINES,10s
3737,6dViIgkYIRccNImPln58rS,Angel,Shaggy,235133,0,0.74,0.7659999999999999,F# / Gb,-2.939,major,0.178,0.1159999999999999,0.0,0.0406,0.807,170.53099999999998,TIKTOK PHILIPPINES,00s
3738,1NtIMM4N0cFa1dNzN15chl,Believer,Imagine Dragons,204346,0,0.772,0.78,A# / Bb,-4.288,minor,0.108,0.0512,0.0,0.119,0.7190000000000001,124.988,TIKTOK PHILIPPINES,10s
3739,5rAUZy2eDdegBxUVYxePK2,In The End - Mellen Gi Remix,Tommee Profitt,218188,77,0.618,0.611,G,-6.654,minor,0.11,0.477,0.0333,0.162,0.2239999999999999,88.07,TIKTOK PHILIPPINES,10s
3742,1FreAz1lmnDi5aKLB6GdFM,Where Is The Love?,Black Eyed Peas,272533,75,0.835,0.687,F,-3.18,major,0.184,0.1009999999999999,0.0,0.132,0.828,94.059,TIKTOK PHILIPPINES,00s
3745,773QYWdZHKUttjNOyffHlZ,9 Lives (Certified West Coast Killer) (feat. Too $hort & Ty$),Eric Bellinger,234880,57,0.647,0.7190000000000001,C# / Db,-5.852,major,0.0851,0.236,0.0,0.0944,0.39,93.955,TIKTOK PHILIPPINES,10s
3746,1cPESAvHAdJYi4O9fWl3PP,Everytime Tha Beat Drop - R&B Edit with No Rap,Monica,173826,42,0.74,0.615,G,-8.039,major,0.145,0.0232,0.0,0.0939,0.725,82.00200000000001,TIKTOK PHILIPPINES,00s
3747,1XyL3J7eTTKnxRZAM3LqIT,Beggin (original version),Madcon,216146,72,0.715,0.8,E,-5.144,minor,0.057,0.0271,0.0,0.0648,0.445,129.023,TIKTOK PHILIPPINES,00s
3748,4fRLdKddgF9HlNqOqLAUWl,Famous,Octavian,204300,58,0.838,0.624,C# / Db,-5.674,minor,0.047,0.147,1.88e-05,0.105,0.52,109.998,TIKTOK PHILIPPINES,20s
3749,6lruHh1jF7ezgbLv72xYmf,FML,Arizona Zervas,223000,76,0.8220000000000001,0.575,F,-5.95,major,0.0934,0.113,0.0,0.106,0.616,100.087,TIKTOK PHILIPPINES,10s
3751,5H14xBAuFG3T8JhokaCjwo,Lemon Tree,DJ Desa,334971,0,0.912,0.784,B,-3.781,minor,0.0521,0.2339999999999999,0.222,0.365,0.903,129.988,TIKTOK PHILIPPINES,20s
3752,4TNuDumYtmoFMmQtFlpWvS,(Dying Inside) To Hold You - Heartbreak Radio Edit,Timmy Thomas,225173,40,0.52,0.669,C,-12.925,major,0.0417,0.011,4.83e-05,0.13,0.6940000000000001,203.097,TIKTOK PHILIPPINES,10s
3753,1vwUsp52io0AGQ5yv470IC,Take You Down,Chris Brown,245933,67,0.387,0.64,B,-5.817,minor,0.081,0.107,0.0,0.319,0.617,59.989,TIKTOK PHILIPPINES,00s
3754,74PG0V0b2yt1xZqTNkL2Tr,Thug Cry,LBS Kee'vin,138390,44,0.741,0.477,G,-12.904000000000002,major,0.1989999999999999,0.0215,0.0105,0.0919,0.276,171.04,TIKTOK PHILIPPINES,20s
3755,6RUKPb4LETWmmr3iAEQktW,Something Just Like This,The Chainsmokers,247160,83,0.617,0.635,B,-6.769,minor,0.0317,0.0498,1.44e-05,0.1639999999999999,0.446,103.019,TIKTOK PHILIPPINES,10s
3756,4TgxFMOn5yoESW6zCidCXL,Savage Love (Laxed – Siren Beat) [BTS Remix],Jawsh 685,184905,79,0.758,0.598,C,-5.695,minor,0.0868,0.16,0.0,0.295,0.6579999999999999,149.836,TIKTOK PHILIPPINES,20s
3757,0YFocHKmrMme7Isel5ImCb,No Matter What I Do All I Think About Is You,Lil Flop,288623,39,0.647,0.767,C,-6.662000000000001,major,0.0879,0.168,0.0,0.121,0.62,167.889,TIKTOK PHILIPPINES,10s
3762,5qEDjLvazvrKqDjRJ4aK32,comethru,Leon Jaar,178886,44,0.764,0.302,C,-5.984,major,0.034,0.546,0.0,0.12,0.603,94.039,TIKTOK PHILIPPINES,10s
3763,65sEZZaxTjLMD8vNgPoMz5,Imahe,Magnus Haven,321817,68,0.604,0.446,A,-8.01,major,0.0341,0.63,0.0,0.0859,0.1989999999999999,143.946,TIKTOK PHILIPPINES,10s
3764,2z8R3K0bp0URKH9eL8PszO,Party Legends,Mobile Legends: Bang Bang,185660,47,0.828,0.8740000000000001,G,-1.258,major,0.0475,0.14,4.95e-05,0.331,0.685,105.96,TIKTOK PHILIPPINES,20s
3767,0igpddB3MzmrZkPmp5iU1I,Wrap Me In Plastic - Tobu Remix,CHROMANCE,208126,46,0.731,0.62,F,-3.2030000000000003,minor,0.0951,0.1369999999999999,0.0,0.154,0.624,90.021,TIKTOK PHILIPPINES,20s
3768,3RNfDvWGGJVyCvbt21gwJo,Intentions,Leon Jaar,213342,26,0.779,0.633,A,-6.556,major,0.0533,0.223,0.0,0.0989,0.85,147.989,TIKTOK PHILIPPINES,20s
3769,2BxiCqaDbLBd3XaZoqZPkt,Kalawakan,DenivMasadaMusic,293688,12,0.524,0.431,D,-9.383,major,0.032,0.15,0.0,0.0996,0.152,77.923,TIKTOK PHILIPPINES,10s
3771,6sXG7Iy6ZWoZL744QzIsl5,Left Foot Up Right Foot Slide,Yung Nazty,248292,43,0.63,0.615,G# / Ab,-7.221,minor,0.347,0.141,0.0,0.113,0.809,81.406,TIKTOK PHILIPPINES,20s
3774,2Mo4pOpCYXOu33856sMQLh,Make It With You,Ben&Ben,209782,67,0.5579999999999999,0.4579999999999999,E,-10.711,major,0.0485,0.7,2.11e-05,0.186,0.342,86.87700000000001,TIKTOK PHILIPPINES,10s
3775,4fybnf1RSCeUvBlVQGzO2M,Come Closer I'll Give You All My Love,Jelly Drops,151536,43,0.735,0.556,A# / Bb,-5.731,minor,0.0411,0.0603,0.0,0.1119999999999999,0.241,126.974,TIKTOK PHILIPPINES,10s
3776,58fsupQIoHCmxGf2dNTl1l,Chain Hang Low (Trap Remix) [TikTok Dance],DJ Quarantine,145964,42,0.675,0.939,C# / Db,-3.819,major,0.0373,0.0278,0.00774,0.0924,0.718,170.898,TIKTOK PHILIPPINES,20s
