,track_id,track,artist,duration_ms,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,genre,era
654,0zO8ctW0UiuOefR87OeJOZ,Collard Greens,ScHoolboy Q,299960,74,0.825,0.575,B,-4.87,major,0.0633,0.025,9.94e-06,0.205,0.65,153.954,TIKTOK DANCE,10s
655,23LAuKGYTIW6rrCiZqvDZG,Back It Up,Trap Beckham,185318,44,0.883,0.546,G# / Ab,-3.793,major,0.142,0.0107,0.0015,0.073,0.916,143.998,TIKTOK DANCE,20s
656,2FVMbLuIxo0dz3KLXgN6Jh,24,Money Man,160952,71,0.8420000000000001,0.715,D,-6.03,major,0.0912,0.0265,0.0554,0.0831,0.428,126.021,TIKTOK DANCE,20s
658,1ENdcyhqdylaLsPVgB83qq,Rags2Riches (feat. ATR Son Son),Rod Wave,167183,71,0.904,0.252,F,-17.54,minor,0.11,0.294,0.0,0.104,0.2269999999999999,117.994,TIKTOK DANCE,20s
663,12hVQgYR254ZziANtiKVWQ,Hatchback,Cochise,149145,69,0.7340000000000001,0.6920000000000001,D,-6.227,minor,0.0555,0.0221,0.0,0.2239999999999999,0.348,77.994,TIKTOK DANCE,10s
665,2BJSMvOGABRxokHKB0OI8i,Shoota (feat. Lil Uzi Vert),Playboi Carti,153800,78,0.6729999999999999,0.649,C# / Db,-8.433,minor,0.196,0.188,0.0,0.122,0.47,153.075,TIKTOK DANCE,10s
666,4aXmXJmLYj57TFIxMqU1ne,Stunt N' Dozier Mix 2,Stunt DeGrate,174680,40,0.932,0.7929999999999999,B,-4.191,minor,0.125,0.000669,0.505,0.0588,0.8079999999999999,146.005,TIKTOK DANCE,10s
667,611WpCuHPho5FfvgFdhYaV,UP LIKE AN INSOMNIAC - Freestyle,XXXTENTACION,150840,53,0.969,0.462,C,-6.723,major,0.349,0.0847,0.000205,0.0688,0.498,119.952,TIKTOK DANCE,10s
668,2DQNYMRjisN3KAPj1bEwOI,"Lemonade (feat. Gunna, Don Toliver & NAV)",Internet Money,195428,66,0.8,0.6579999999999999,C# / Db,-6.142,minor,0.079,0.25,0.0,0.111,0.462,140.042,TIKTOK DANCE,20s
669,67LgGRNGmLw8tqJ7QGsPgW,Robotics,ZaeHD & CEO,177319,44,0.921,0.46,A,-9.897,major,0.491,0.0587,0.0,0.0929,0.427,134.014,TIKTOK DANCE,10s
670,3WnTQDd9A3bpBfzCziElU9,Excitement,Trippie Redd,283270,70,0.474,0.6809999999999999,E,-3.4730000000000003,minor,0.038,0.0263,4.270000000000001e-05,0.0972,0.0384,121.96,TIKTOK DANCE,20s
671,4Oun2ylbjFKMPTiaSbbCih,WAP (feat. Megan Thee Stallion),Cardi B,187541,87,0.935,0.4539999999999999,C# / Db,-7.508999999999999,major,0.375,0.0194,0.0,0.0824,0.357,133.07299999999998,TIKTOK DANCE,20s
675,2E5NGLtMqDmeijWcntP8Ca,ICE (feat. MORGENSHTERN),MORGENSHTERN,126000,66,0.8590000000000001,0.8759999999999999,F,-5.14,minor,0.368,0.081,0.00137,0.385,0.885,151.89600000000002,TIKTOK DANCE,20s
676,45XhKYRRkyeqoW3teSOkCM,Wild Thoughts (feat. Rihanna & Bryson Tiller),DJ Khaled,204664,66,0.613,0.6809999999999999,G# / Ab,-3.089,major,0.0778,0.0287,0.0,0.126,0.619,97.621,TIKTOK DANCE,10s
677,3nS9a01VvXHQriLqJYwRqG,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,197760,78,0.825,0.4579999999999999,C,-7.47,major,0.0577,0.114,0.0,0.102,0.161,145.115,TIKTOK DANCE,20s
678,2gwkD6igEhQbDQegRCcdoB,Suge,DaBaby,163320,78,0.8759999999999999,0.662,D,-6.482,minor,0.426,0.0608,0.0,0.127,0.8440000000000001,75.445,TIKTOK DANCE,10s
680,4jQiLyv1wtOtgKVEiA7yuq,Tatted Up (feat. Fabo),K CAMP,196143,55,0.909,0.568,G# / Ab,-8.809,minor,0.3,0.136,0.000136,0.0754,0.721,144.882,TIKTOK DANCE,20s
681,1GcXzijYzyfMq6wryZjYW5,May I,Flo Milli,163018,71,0.8959999999999999,0.78,C# / Db,-3.547,major,0.2019999999999999,0.0828,0.0,0.0857,0.85,106.032,TIKTOK DANCE,20s
683,3jVtllWS5CFFWLQng8sKsr,2 On (feat. ScHoolboy Q),Tinashe,227000,71,0.742,0.595,A,-7.51,major,0.107,0.15,0.0,0.111,0.431,101.013,TIKTOK DANCE,10s
684,73280zFVJeotiaimmpMAlp,Let's Get Married,Vedo,147749,61,0.687,0.5820000000000001,E,-7.369,major,0.271,0.236,0.0,0.0935,0.802,132.039,TIKTOK DANCE,10s
685,5ROOB1w1JX6EE35Okui9YO,Pressure,Yungster Jack,135732,50,0.75,0.427,C# / Db,-9.395,major,0.33,0.03,0.0,0.106,0.772,85.021,TIKTOK DANCE,20s
686,4EivmOT13NMpNSfTKn9p4s,Like That (feat. Gucci Mane),Doja Cat,163173,79,0.879,0.499,E,-6.027,minor,0.18,0.24,0.0,0.0967,0.405,106.043,TIKTOK DANCE,10s
690,6YWUJyXqTbYHEVRwKt1mfT,Life of Brick,Brickboydior,92426,45,0.845,0.613,C# / Db,-4.464,major,0.298,0.436,0.0,0.372,0.912,136.107,TIKTOK DANCE,20s
691,5H4mXWKcicuLKDn4Jy0sK7,Time Flies,Drake,192931,72,0.8640000000000001,0.477,A# / Bb,-5.7860000000000005,major,0.2239999999999999,0.201,0.0,0.182,0.5,86.46,TIKTOK DANCE,20s
692,1Zv2jT7iZu98Feqpzhn0nd,(i hope you) miss me,Joseph Black,159170,68,0.7340000000000001,0.596,F# / Gb,-10.023,minor,0.324,0.118,0.0,0.107,0.317,98.024,TIKTOK DANCE,20s
693,2UFjTMXDWz2zf6wwol4WPo,Go Daddy Go,dj Shawny,47673,44,0.748,0.623,C# / Db,-4.178,minor,0.291,0.000692,0.0,0.128,0.563,159.95,TIKTOK DANCE,10s
695,6CFPFnS9EcLs2I0nWqtWci,Because Of You,Ne-Yo,266840,74,0.81,0.5379999999999999,C,-5.784,minor,0.0356,0.528,0.0,0.0951,0.828,109.97,TIKTOK DANCE,00s
696,2r6OAV3WsYtXuXjvJ1lIDi,Hello (feat. A Boogie Wit da Hoodie),Pop Smoke,190534,84,0.905,0.647,A# / Bb,-5.065,minor,0.107,0.0187,0.0,0.282,0.367,130.97,TIKTOK DANCE,20s
697,5EzL7hGT9g2Tvqsy158Lu9,Pussy Talk,City Girls,218332,73,0.943,0.6409999999999999,C# / Db,-5.598,major,0.191,0.0016,0.0,0.211,0.242,99.099,TIKTOK DANCE,20s
698,13TWGr9aDyr4AJgt1q6xVn,This Is For Rachel For Acting Up,Visualz By Mariee,158667,0,0.852,0.56,F# / Gb,-5.8020000000000005,minor,0.314,0.0284,4.98e-06,0.111,0.2339999999999999,96.999,TIKTOK DANCE,10s
699,2hfoyc7ve6xM4ZEiNIiU1B,Gimme Love,Joji,214557,71,0.482,0.631,F,-6.917000000000001,major,0.0986,0.696,0.0242,0.209,0.0743,126.576,TIKTOK DANCE,20s
701,0ZNrc4kNeQYD9koZ3KvCsy,"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)",YG,237240,70,0.745,0.346,C# / Db,-7.709,major,0.331,0.00552,0.0,0.0881,0.1119999999999999,203.911,TIKTOK DANCE,10s
702,0DlO5ASl69vgPntQhqJcU3,Play With Me,Foolio,153782,45,0.762,0.532,D,-6.246,major,0.139,0.118,0.0,0.158,0.516,124.962,TIKTOK DANCE,20s
703,2rPSFKzGeqUWwfcCFVkkq3,Poke It Out (with Nicki Minaj),Playboi Carti,269813,63,0.894,0.59,A,-5.716,major,0.221,0.0969,8.900000000000001e-06,0.3289999999999999,0.5760000000000001,147.009,TIKTOK DANCE,10s
705,1DunhgeZSEgWiIYbHqXl0c,Latch,Disclosure,255866,70,0.7290000000000001,0.735,C# / Db,-5.455,major,0.0919,0.0178,0.000193,0.089,0.544,121.986,TIKTOK DANCE,10s
706,1qxnmVbl8To9W9BcbTS8yC,PJ,ppcocaine,119959,62,0.959,0.649,C,-6.535,minor,0.21,0.096,0.0,0.635,0.76,106.996,TIKTOK DANCE,20s
707,5619Ojc6t9evEEs3B7Drhe,Shake It,Metro Station,179946,70,0.618,0.955,E,-3.836,major,0.0798,0.00221,3.09e-06,0.486,0.79,150.034,TIKTOK DANCE,00s
709,5rZlwNFl01HqLWBQGryKSm,Mood Swings (feat. Lil Tjay),Pop Smoke,213333,83,0.48,0.602,A# / Bb,-6.335,minor,0.368,0.487,0.0,0.0848,0.2689999999999999,179.798,TIKTOK DANCE,20s
714,6hbg57wH6SyIDnPzwLeeXc,Sex Talk,Megan Thee Stallion,131209,67,0.906,0.763,C,-6.322,major,0.3979999999999999,0.147,0.0,0.107,0.58,139.961,TIKTOK DANCE,10s
717,1p6b5aovKRW4PC6zuH9FMt,WURK,Huncho Da Rockstar,153843,34,0.83,0.408,A# / Bb,-11.599,minor,0.706,0.0511,0.0,0.0755,0.696,156.04,TIKTOK DANCE,20s
718,73v0OAkgmezepzNmxUdTHo,Love Story - Discoball Remix,Sasha Saidin,270720,12,0.795,0.908,C,-9.0,major,0.0612,0.0066799999999999,0.218,0.0365,0.779,121.031,TIKTOK DANCE,10s
719,6WrI0LAC5M1Rw2MnX2ZvEg,Don't Start Now,Dua Lipa,183290,85,0.794,0.7929999999999999,B,-4.521,minor,0.0842,0.0125,0.0,0.0952,0.677,123.941,TIKTOK DANCE,10s
729,5Isz0twJeFdduOQEFQLezv,Confident,Justin Bieber,248133,66,0.738,0.563,F,-5.4670000000000005,minor,0.11,0.113,0.0,0.191,0.8759999999999999,134.132,TIKTOK DANCE,10s
730,2gSbNY2qXZ5mPVixrMaFrY,3 Musketeers,NextYoungin,166857,0,0.91,0.617,C,-10.234,major,0.0847,0.258,0.0,0.122,0.5720000000000001,104.972,TIKTOK DANCE,20s
733,2ajhenDRiiAnCHHjsIOHhJ,Laffy Taffy,D4L,224253,65,0.8909999999999999,0.439,G,-7.994,minor,0.428,0.0351,0.0,0.0932,0.622,77.499,TIKTOK DANCE,00s
735,4GurWpxvH3NoWz9f9wirPq,Wet (She Got That…),YFN Lucci,209848,63,0.695,0.642,C# / Db,-6.13,minor,0.1939999999999999,0.238,0.0,0.359,0.316,128.02200000000002,TIKTOK DANCE,20s
738,72dHgPnaRtF1pgbpSZrgLX,Interior Crocodile Alligator,Lil Memer,110619,0,0.9,0.485,C# / Db,-11.821,major,0.421,0.0462,0.0,0.31,0.685,88.917,TIKTOK DANCE,10s
739,4eSGSqP2TZvvX0kadZZttM,Doing It Wrong,Drake,265120,67,0.397,0.172,F# / Gb,-15.698,minor,0.0445,0.841,6.78e-05,0.108,0.123,101.275,TIKTOK DANCE,10s
740,0qJeyYAgv6UpvewUxRXAhb,Rags2Riches 2 (feat. Lil Baby),Rod Wave,235987,75,0.8740000000000001,0.4429999999999999,F,-9.628,minor,0.241,0.147,0.0,0.124,0.298,118.004,TIKTOK DANCE,20s
741,1ZbJScG0Dr74y1hvgDneYm,Obnimi (Callmearco Remix),Okean Elzi,232105,2,0.721,0.845,G,-3.996,minor,0.0524,0.1689999999999999,0.0145,0.363,0.486,152.05700000000002,TIKTOK DANCE,10s
743,5au5NgWCdev4WeLRB3YEOR,Hood Baby,KBFR,110062,62,0.974,0.472,B,-11.848,minor,0.447,0.0488,0.000157,0.1159999999999999,0.8059999999999999,126.065,TIKTOK DANCE,20s
747,3KMwf44uy6UkmXzJd6lPsG,All About Cake,Nodis,119592,0,0.831,0.484,C# / Db,-7.2,major,0.544,0.0101,0.00018,0.0969999999999999,0.507,131.094,TIKTOK DANCE,20s
749,0IGxkEgMeF1dwOSIj2IUrT,Crisis,Jasiah,109595,64,0.76,0.794,A# / Bb,-4.311,minor,0.344,0.263,0.00324,0.0996,0.583,165.99,TIKTOK DANCE,20s
751,4w47S36wQGBhGg073q3nt7,TKN (feat. Travis Scott),ROSALÍA,129370,78,0.7759999999999999,0.509,C,-6.266,minor,0.467,0.192,1.49e-06,0.115,0.485,94.634,TIKTOK DANCE,20s
756,6wN4nT2qy3MQc098yL3Eu9,Deuces (feat. Tyga & Kevin McCall),Chris Brown,276560,68,0.6920000000000001,0.736,C# / Db,-5.109,major,0.11,0.0324,0.0,0.0787,0.217,73.987,TIKTOK DANCE,10s
757,4PrquuUN34hswtM71OMvxS,Get Up (feat. Chamillionaire),Ciara,263373,57,0.941,0.631,C# / Db,-5.997999999999999,minor,0.114,0.0366,1.8e-06,0.0311,0.63,128.597,TIKTOK DANCE,00s
762,6MTf9Q8yPuD8Vv2btCedNc,Splash,Championxiii,125217,54,0.917,0.417,A,-10.479,major,0.4379999999999999,0.04,0.0,0.0706,0.465,138.007,TIKTOK DANCE,20s
765,6tLWt7gkvvTSjS6OfJjiyJ,B*tch From Da Souf,Latto,144047,64,0.863,0.235,C# / Db,-15.545,major,0.6990000000000001,0.0241,0.0,0.123,0.3989999999999999,150.062,TIKTOK DANCE,10s
768,01jIO8SJFnpSiNLH1JaBZ5,You,Jacquees,217386,68,0.735,0.4529999999999999,G# / Ab,-8.264,minor,0.0602,0.413,0.0,0.104,0.335,115.002,TIKTOK DANCE,10s
769,2Xoc4gqPbBa3QHKpBLJ5l8,Then Leave (feat. Queendom Come),BeatKing,151519,65,0.912,0.568,D,-6.107,major,0.476,0.0656,0.000105,0.0521,0.491,140.968,TIKTOK DANCE,20s
772,1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN,Jack Harlow,139741,81,0.923,0.604,B,-6.671,minor,0.245,0.017,0.0,0.272,0.826,145.062,TIKTOK DANCE,20s
774,6rC06yWehxOD8mN7fxGNMb,Disrespectful,Blueface,152400,65,0.945,0.535,A,-6.181,major,0.401,0.192,0.0,0.3229999999999999,0.65,107.01,TIKTOK DANCE,10s
775,14SaZBTjxlorHJQxXh01Hu,Girls Need Love (with Drake) - Remix,Summer Walker,222374,77,0.6559999999999999,0.432,F# / Gb,-9.481,minor,0.217,0.4429999999999999,0.0,0.132,0.0897,97.022,TIKTOK DANCE,10s
776,4JeMM66h7rFqgO94N3kgCP,The Dice Beat Pt. 1,Ricky Desktop,100000,44,0.946,0.2689999999999999,C# / Db,-10.061,major,0.5670000000000001,0.018,0.068,0.108,0.0999,125.95,TIKTOK DANCE,20s
778,6vt0I1cw1YmAIKDJvHVIM5,Suit & Tie (feat. Jay-Z),Justin Timberlake,326280,67,0.795,0.596,B,-3.799,minor,0.2189999999999999,0.103,0.0,0.1639999999999999,0.357,101.985,TIKTOK DANCE,10s
779,39Yp9wwQiSRIDOvrVg7mbk,THE SCOTTS,THE SCOTTS,165977,82,0.716,0.537,C,-7.648,minor,0.0514,0.233,0.0,0.157,0.28,129.97899999999998,TIKTOK DANCE,20s
782,5RqR4ZCCKJDcBLIn4sih9l,Party Girl,StaySolidRocky,147800,79,0.728,0.431,F# / Gb,-9.966,minor,0.0622,0.7490000000000001,0.0,0.0996,0.629,130.02200000000002,TIKTOK DANCE,20s
789,19pI9JdjoIQPhq9z8DBsR5,Molly,Tre Savage,141505,9,0.745,0.552,C,-14.578,minor,0.31,0.126,9.27e-06,0.094,0.185,134.982,TIKTOK DANCE,20s
790,0yl9wVxWkmSpHOCIBioMSY,Red Head,Cochise,158049,0,0.7070000000000001,0.6779999999999999,F# / Gb,-8.933,minor,0.077,0.0139,0.0,0.411,0.262,79.97399999999999,TIKTOK DANCE,10s
791,4ak7xjvBeBOcJGWFDX9w5n,Rodeo,Lil Nas X,158706,74,0.706,0.679,A,-5.614,major,0.0324,0.139,6.979999999999999e-05,0.465,0.657,140.08100000000002,TIKTOK DANCE,10s
792,5rb9QrpfcKFHM1EUbSIurX,Yeah! (feat. Lil Jon & Ludacris),Usher,250373,82,0.894,0.7909999999999999,D,-4.699,major,0.1119999999999999,0.0183,0.0,0.0388,0.583,105.018,TIKTOK DANCE,00s
793,3Q6F8RByyhRTJpRtZLY3cg,WHATS POPPIN,Jack Harlow,139741,24,0.923,0.604,B,-6.671,minor,0.245,0.017,0.0,0.272,0.826,145.062,TIKTOK DANCE,20s
795,3e39X4Q74yJzsYUEeyf4ws,OFF THE RIP,DaBaby,115609,60,0.8009999999999999,0.693,C,-4.002,major,0.3229999999999999,0.0104,0.0,0.376,0.602,164.084,TIKTOK DANCE,10s
796,4zTPYAf5scZdp0LnwPPeWK,Deep End Freestyle,Sleepy Hallow,115200,69,0.8759999999999999,0.479,E,-6.687,minor,0.44,0.703,0.0,0.102,0.7759999999999999,133.858,TIKTOK DANCE,20s
797,3dfpZwSuosIuFqksY0F6gT,"Sofia the First Main Title Theme - From ""Sofia the First""",Cast - Sofia the First,52866,56,0.655,0.789,E,-3.995,major,0.0489,0.423,0.0,0.13,0.66,92.968,TIKTOK DANCE,10s
798,4NhDYoQTYCdWHTvlbGVgwo,GOOBA,6ix9ine,132303,73,0.611,0.688,C# / Db,-5.688,major,0.341,0.0264,0.0,0.251,0.3929999999999999,178.46200000000002,TIKTOK DANCE,20s
801,2WHUGBZNO2jhSzc5PHr2Li,Stay In My Arms,Dubskie,175613,13,0.693,0.6809999999999999,C# / Db,-9.218,minor,0.241,0.0364,0.011,0.528,0.84,143.101,TIKTOK DANCE,20s
802,2MvxhedNhxhj32eVQJnmII,Rockstar Shit,BLIND.SEE,128495,59,0.916,0.445,G,-7.143,major,0.5710000000000001,0.0179,1.84e-06,0.381,0.0519,140.124,TIKTOK DANCE,10s
805,0dIoGTQXDh1wVnhIiSyYEa,Bartier Cardi (feat. 21 Savage),Cardi B,224284,70,0.908,0.524,C# / Db,-7.955,major,0.181,0.0011099999999999,0.000678,0.3829999999999999,0.109,138.015,TIKTOK DANCE,10s
808,6btyEL6NwUa97Nex9cZFvo,Pump It,Black Eyed Peas,213066,69,0.649,0.931,C# / Db,-3.15,minor,0.181,0.0093,0.0,0.7509999999999999,0.7440000000000001,153.645,TIKTOK DANCE,00s
811,4tYpkgBjxxin7SiUBW0Rtq,Famous (I'm The One) (feat. Yo Gotti & DeJ Loaf),Mozzy,205333,64,0.432,0.612,B,-8.846,minor,0.211,0.00185,0.0,0.308,0.253,88.71600000000001,TIKTOK DANCE,10s
813,2ajzBr7vwHTEBeqDzcsNRC,That Way - Bonus Track,Lil Uzi Vert,212354,69,0.7120000000000001,0.598,G,-5.367999999999999,minor,0.0388,0.0546,0.0,0.154,0.504,130.007,TIKTOK DANCE,20s
814,5qHirGR7M9tdm6C17DlzSY,REEL IT IN,Aminé,121346,76,0.754,0.342,A# / Bb,-8.677,minor,0.0991,0.073,0.0,0.193,0.423,128.981,TIKTOK DANCE,10s
816,7nJWotqUUPhVaCAOov6qGp,NEVER MET!,CMTEN,147000,1,0.6779999999999999,0.722,F# / Gb,-3.352,major,0.1169999999999999,0.216,0.0,0.166,0.944,160.061,TIKTOK DANCE,20s
817,4oT5k8Fwcc32vft60fxp9G,Whip out the Stick,PYT. NY,156000,47,0.883,0.753,E,-6.254,major,0.359,0.0502,0.0,0.0643,0.799,136.132,TIKTOK DANCE,20s
818,2alc8VZAzDgdAsL2QMk3hu,Skechers,DripReport,106000,75,0.903,0.327,C# / Db,-9.727,major,0.0877,0.26,0.011,0.108,0.2739999999999999,100.008,TIKTOK DANCE,20s
820,6Vdyu21iT8qScU1haSjWUU,"Leave Em Alone (Layton Greene, Lil Baby feat. City Girls, PnB Rock)",Quality Control,171646,71,0.76,0.755,F# / Gb,-4.735,minor,0.19,0.0163,2.95e-06,0.0909,0.517,101.993,TIKTOK DANCE,10s
821,76MjtLfZoTNc3BDqUVjuRH,Patek,Future,280665,64,0.8009999999999999,0.596,C# / Db,-4.72,major,0.0534,0.00301,0.0,0.162,0.134,120.028,TIKTOK DANCE,20s
822,7DmxvWVgNYcm9uqknWGi7m,Bitch I Am Up,Lifs_a_Trip,195092,17,0.981,0.2769999999999999,C# / Db,-13.833,major,0.435,0.0182,0.0,0.1009999999999999,0.183,120.031,TIKTOK DANCE,20s
823,7I6DceMT3utDOHjcYCbrr4,Don't Matter,Akon,293053,66,0.7979999999999999,0.4429999999999999,D,-6.062,major,0.0403,0.244,0.0,0.326,0.354,125.232,TIKTOK DANCE,00s
824,222CYzFdozaJ8D7TL0Eo0u,The Mop,TisaKorean,249363,46,0.846,0.324,D,-12.434,major,0.667,0.0107,0.0,0.0966,0.3989999999999999,143.988,TIKTOK DANCE,20s
826,527k23H0A4Q0UJN3vGs0Da,After Party,Don Toliver,167915,82,0.629,0.6920000000000001,F,-8.045,major,0.0376,0.00981,0.331,0.603,0.4529999999999999,162.94799999999998,TIKTOK DANCE,20s
831,3eekarcy7kvN4yt5ZFzltW,HIGHEST IN THE ROOM,Travis Scott,175720,86,0.598,0.427,G,-8.764,minor,0.0317,0.0546,5.83e-06,0.21,0.0605,76.469,TIKTOK DANCE,10s
832,1E3VQQWFQAPJkXfYHjqWoI,Captain Hook,Megan Thee Stallion,176749,73,0.863,0.633,A# / Bb,-5.002,minor,0.287,0.0118,0.0,0.285,0.545,163.991,TIKTOK DANCE,20s
836,6Juv5N0dNU1imms9c9u1dA,Papi Chulo,Octavian,161667,76,0.866,0.563,B,-6.964,minor,0.108,0.185,0.0,0.0889,0.307,127.954,TIKTOK DANCE,20s
839,7fEoXCZTZFosUFvFQg1BmW,Took Her To The O,King Von,196179,76,0.82,0.5920000000000001,C# / Db,-7.002000000000001,major,0.29,0.0149,4.71e-06,0.121,0.4,159.98,TIKTOK DANCE,20s
840,4dPVmeisPfQrLcjx0Wz1KW,JoJo Pose,Apollo Fresh,105333,68,0.7809999999999999,0.5329999999999999,C# / Db,-9.215,major,0.302,0.0366,0.0,0.597,0.326,133.967,TIKTOK DANCE,20s
841,2rRJrJEo19S2J82BDsQ3F7,Falling,Trevor Daniel,159381,76,0.784,0.43,A# / Bb,-8.756,minor,0.0364,0.123,0.0,0.0887,0.236,127.087,TIKTOK DANCE,20s
842,6fHyLLVQkgAYbauoFiS8fO,Stressed Out,Curtis Roach,170399,38,0.575,0.614,G# / Ab,-11.811,major,0.642,0.212,0.0024,0.242,0.5870000000000001,118.958,TIKTOK DANCE,20s
843,1UoFowNGDQvaHShpRSGwuq,Ronaldo,Blanco,134452,53,0.772,0.384,D,-13.89,minor,0.0858,0.183,0.0,0.148,0.461,99.966,TIKTOK DANCE,20s
844,2CnNLqBpth6XEHdvzXlpZN,Demons,Stunna Gambino,177196,60,0.5529999999999999,0.68,F# / Gb,-7.928999999999999,minor,0.3279999999999999,0.44,0.0,0.12,0.33,122.007,TIKTOK DANCE,20s
845,2RBILNmyq8p4fqVWO5KHXY,Fly Today,Just Ice,129776,39,0.897,0.376,G,-13.114,major,0.0759,0.402,0.0,0.0701,0.185,99.986,TIKTOK DANCE,20s
846,1Juo9g0Rjxo6fxOmr8N3wV,2 Times,MASN,158051,51,0.593,0.746,G# / Ab,-6.483,major,0.0674,0.321,0.0,0.0684,0.413,159.955,TIKTOK DANCE,20s
847,5aAI0rnMgJpYweunrZ2yQJ,Dancin Alone,Jonn Hart,150666,46,0.755,0.657,F# / Gb,-6.441,major,0.0725,0.396,0.0,0.106,0.267,89.991,TIKTOK DANCE,20s
848,4UvjLzl4gzPiS8Mec1KHcD,Faygo,E the profit,149558,36,0.879,0.441,C# / Db,-10.254,major,0.204,0.102,0.000249,0.111,0.369,130.02200000000002,TIKTOK DANCE,20s
849,5X9oPVrezN8RbOComB5qpb,Won (feat. Ayo & Teo & Global Dell),Global Dan,159565,39,0.747,0.797,F,-4.117,minor,0.0976,0.178,0.0,0.315,0.664,137.812,TIKTOK DANCE,20s
850,5mFr8BsDBZ04aNiMAtjT8Y,Outta Time,KillBunk,125753,60,0.654,0.642,C,-9.935,major,0.0543,0.209,0.0,0.299,0.527,94.988,TIKTOK DANCE,20s
851,71KEVaB5zBPTmhR42Xznkr,Bluegrass,E the profit,117200,40,0.7809999999999999,0.479,C,-8.385,major,0.411,0.0249,0.0,0.168,0.72,149.904,TIKTOK DANCE,20s
852,7dWycHYWCO1lbfyOYUM84Z,WOO IT AGAIN,Rah Swish,125454,42,0.382,0.825,G,-4.261,major,0.074,0.0164,0.0,0.155,0.161,83.734,TIKTOK DANCE,20s
853,1JGi2oEvxUQLHxyWYanhd9,Dear Anna,Kyle The Hooligan,147147,43,0.7070000000000001,0.57,F,-8.276,major,0.0446,0.0498,0.0,0.102,0.288,170.033,TIKTOK DANCE,20s
854,5lPOvE3pbCMzMUAfp73OFe,Do You,BYNX,227676,37,0.722,0.517,B,-11.208,major,0.0389,0.352,0.807,0.139,0.391,124.027,TIKTOK DANCE,20s
855,76Xhf3vcNnbU1pEjKZA12a,No Love No Trust Freestyle,Astrokidjay,102727,47,0.81,0.412,F,-9.443,minor,0.196,0.147,0.0,0.129,0.7759999999999999,131.974,TIKTOK DANCE,20s
856,6RiAd2ymgK1pVErGWhvapu,Mood Swings,Wiill,225330,35,0.674,0.474,G# / Ab,-7.261,major,0.0786,0.1939999999999999,0.0,0.074,0.6579999999999999,164.077,TIKTOK DANCE,20s
857,3u2GQm2KSZzgpQb6QF1GNK,Can't Trust A Soul,7ru7h,165858,52,0.711,0.721,B,-7.242999999999999,major,0.161,0.0619,0.0,0.1119999999999999,0.68,82.5,TIKTOK DANCE,20s
858,4I3ooY5jB0124lUvA4ZB9K,Shake the Bank,Sir Trilli,197133,41,0.807,0.629,C# / Db,-6.43,minor,0.278,0.0115,0.0,0.142,0.436,140.125,TIKTOK DANCE,20s
859,6edTGKXiWKcYpMWZNzNkyU,Luvdrug,Joey Melrose,180976,44,0.7240000000000001,0.657,F,-9.616,minor,0.251,0.0244,0.0,0.128,0.551,150.02700000000002,TIKTOK DANCE,20s
860,1qrF3SzqAWT8KbPcwSki9m,Dork,Mazen,207915,35,0.858,0.561,G,-8.628,minor,0.145,0.135,0.0,0.372,0.411,125.016,TIKTOK DANCE,20s
861,29LBkpnbEHGvBQBe3aag5M,Sandwich,Lil Cray,209323,32,0.8540000000000001,0.501,F,-7.601,minor,0.115,0.0254,0.0,0.38,0.36,133.113,TIKTOK DANCE,20s
862,6tNxAn8I7OP8zBvcBQdxYs,Golden,Tayy Brown,198202,33,0.7929999999999999,0.513,C# / Db,-9.096,major,0.588,0.0847,0.0,0.055,0.7170000000000001,178.05200000000002,TIKTOK DANCE,20s
863,0EerFqQbIJhBoK6a0jKplF,BIG BANK,jusLo,103141,37,0.868,0.534,F# / Gb,-8.088,major,0.389,0.108,0.0,0.0817,0.8220000000000001,142.072,TIKTOK DANCE,20s
864,7CPdfsjklD8kToH2PMVJww,Worst Enemy,Jess Benko,166946,43,0.555,0.764,F# / Gb,-5.259,minor,0.0447,0.3429999999999999,5.56e-06,0.289,0.293,142.06,TIKTOK DANCE,20s
865,1yWG0kawnsuGz59NSvKhyF,Fill It Up,AJ Gravity,155219,41,0.726,0.599,C# / Db,-10.096,major,0.0458,0.0437,0.0,0.0815,0.261,98.986,TIKTOK DANCE,20s
866,08UIiWFpJDG5IvuyYagkOS,Gorillas & Apes,Kir,145554,41,0.89,0.5489999999999999,G,-5.71,minor,0.0931,0.581,0.0,0.0879,0.667,120.026,TIKTOK DANCE,20s
867,70Me4VASA1qHzusMMGkqvJ,Feel Like A Boss (feat. 42 Dugg),Badda TD,177037,56,0.868,0.5529999999999999,A# / Bb,-7.407,minor,0.36,0.192,0.0,0.0996,0.777,131.954,TIKTOK DANCE,20s
868,6Jgapj9acSGYd2CpXcMEPx,4ever,lilspirit,133333,47,0.701,0.444,E,-7.405,major,0.0605,0.14,0.0,0.151,0.542,80.945,TIKTOK DANCE,20s
